,Unnamed: 0,unixepoch,pid,g_x,g_y,Rstep_len,Rstep,x_SG,y_SG,vx_SG,vy_SG,ng_x,ng_y,mov_x,mov_y,m_mov_x,m_mov_y,tL_x,tL_y,validTransition,K
163105,103299,1510231199377.0,13108495,143,46,169,48,142.29874456574282,45.35750725989333,-1.0709905259401178,-0.0533577789151228,141.0,45.0,-1,-1,0,2,2,1,False,7
163116,103300,1510231199476.0,13108495,141,45,169,49,141.14958839140445,45.30348272265337,-1.0758252235642145,-0.0465583351907691,140.0,45.0,-1,0,0,1,1,0,True,3
163117,103301,1510231199575.0,13108495,140,45,169,50,139.99424334035308,45.28175469469159,-1.0790425571984117,-0.0234665949384558,138.0,45.0,-1,0,0,1,2,0,False,3
163127,103302,1510231199675.0,13108495,138,45,169,51,138.8940410040784,45.289808961924734,-1.0839782110389526,0.0118840769343042,138.0,45.0,0,0,1,1,0,0,True,0
163139,103303,1510231199774.0,13108495,138,45,169,52,137.9462650147017,45.3193250590783,-1.0983499465298756,0.0521704050398351,137.0,45.0,-1,0,0,1,1,0,True,3
163148,103304,1510231199873.0,13108495,137,45,169,53,136.90361502297722,45.362786216676085,-1.1256875270161877,0.0860981821156878,136.0,45.0,-1,0,0,1,1,0,True,3
163155,103305,1510231199972.0,13108495,136,45,169,54,135.6843239549061,45.420141417981824,-1.1599163271187436,0.1058076908444838,135.0,46.0,-1,1,0,0,1,1,True,6
163158,103306,1510231200072.0,13108495,135,46,169,55,134.47753526685946,45.505623785796864,-1.1968383023164484,0.1066906917819555,133.0,46.0,-1,0,0,1,2,0,False,3
163172,103307,1510231200171.0,13108495,133,46,169,56,133.18055554844614,45.65482951901792,-1.2221657995419095,0.0844798614342731,131.0,46.0,-1,0,0,1,2,0,False,3
163176,103308,1510231200270.0,13108495,131,46,169,57,131.94011877201635,45.76449381980783,-1.2344904382897377,0.0414941708798991,131.0,46.0,0,0,1,1,0,0,True,0
163186,103309,1510231200369.0,13108495,131,46,169,58,130.77221504032676,45.83711104216314,-1.2369088848414225,-0.0143160131488727,130.0,46.0,-1,0,0,1,1,0,True,3
163195,103310,1510231200469.0,13108495,130,46,169,59,129.61644727917425,45.86405206955501,-1.229526167384686,-0.0715333615183911,129.0,46.0,-1,0,0,1,1,0,True,3
163202,103311,1510231200568.0,13108495,129,46,169,60,128.44597831666547,45.70763949353031,-1.2112575000130237,-0.117841938596925,127.0,45.0,-1,-1,0,2,2,1,False,7
163208,103312,1510231200667.0,13108495,127,45,169,61,127.235705732142,45.510308944209065,-1.1824120559353148,-0.1452537252827681,126.0,45.0,-1,0,0,1,1,0,True,3
